Product Level 4,Brand Level 4,Brand Level 2,Product Name,average,growth,returnPercent,returnUnits,tAct,thAct,fAct,sAct,mAct,tSug,thSug,fSug,sSug,mSug,totalAct,totalSug
SANDWICH ALTERNATIVE,TIA ROSA,TR CORN,TR WHITE CORN TORT30,7,417.65,9.09,1,0,0,0,0,12,0,0,0,0,12,12,12
SANDWICH ALTERNATIVE,TIA ROSA,TR CORN,TR YELLOW CORN TORT,17,621.43,0.99,0,0,12,0,12,12,0,0,0,0,12,36,12
SANDWICH ALTERNATIVE,TIA ROSA,TR FLOUR,,96,-0.52,4.62,4,11,35,0,46,55,11,11,0,35,55,147,112
SANDWICH ALTERNATIVE,TIA ROSA,TR FLOUR,"TR 6.5""HS TORT 20P28",47,20.69,0.18,0,11,11,0,22,11,11,11,0,11,11,55,44
SANDWICH ALTERNATIVE,TIA ROSA,TR FLOUR,TR BURRITO TORT 8P20,7,-28.70,34.15,2,0,0,0,0,10,0,0,0,0,10,10,10
SANDWICH ALTERNATIVE,TIA ROSA,TR FLOUR,TR HOMSTY TORT 10P14,33,3.11,2.51,1,0,24,0,24,24,0,0,0,24,24,72,48
SANDWICH ALTERNATIVE,TIA ROSA,TR FLOUR,TR SFT TACO TORT10P,9,-24.82,13.21,1,0,0,0,0,10,0,0,0,0,10,10,10
SANDWICH ALTERNATIVE,TIA ROSA,TR FLOUR,TR WICWW TORT 10P16Z,0,-100.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
SLICED BREAD,,,,"5,094",-6.96,3.91,199,1180,800,728,1770,917,1071,694,674,1641,917,5395,4997
SLICED BREAD,ARNOLD-BRWNBRY-OROWT,,,212,-2.91,20.20,43,38,30,10,65,143,28,20,10,63,143,286,264
SLICED BREAD,ARNOLD-BRWNBRY-OROWT,ABO COUNTRY,,11,-58.97,42.19,5,0,0,0,0,30,0,0,0,0,30,30,30
SLICED BREAD,ARNOLD-BRWNBRY-OROWT,ABO COUNTRY,OR CNTRY MLTIGRN 24Z,0,-100.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
SLICED BREAD,ARNOLD-BRWNBRY-OROWT,ABO COUNTRY,OR CNTRY OATMEAL 24Z,1,-70.59,220.00,2,0,0,0,0,10,0,0,0,0,10,10,10
SLICED BREAD,ARNOLD-BRWNBRY-OROWT,ABO COUNTRY,OR CNTRY WHEAT WP24Z,0,-100.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
SLICED BREAD,ARNOLD-BRWNBRY-OROWT,ABO COUNTRY,OR CNTRY WHITE 24Z,1,-62.07,172.73,2,0,0,0,0,10,0,0,0,0,10,10,10
SLICED BREAD,ARNOLD-BRWNBRY-OROWT,ABO COUNTRY,OR CNTY POTATO 24Z,9,-13.71,12.15,1,0,0,0,0,10,0,0,0,0,10,10,10
